algorithm,entries,dx,dy,dz,d1_miss_rate
"bubble_sort_demo",10000,16384,1,64,4.2
"bubble_sort_demo",10000,16384,4,64,4.1
"radix_sort_demo",10000,8192,8,64,3.4
"bubble_sort_demo",10000,16384,2,64,4.1
"radix_sort_demo",10000,16384,8,64,2.5
"bubble_sort_demo",10000,4096,8,32,8.3
"radix_sort_demo",10000,8192,8,32,4.1
"bubble_sort_demo",10000,2048,8,64,4.2
"bubble_sort_demo",10000,4096,8,64,4.2
"bubble_sort_demo",10000,16384,8,64,4.1
"bubble_sort_demo",10000,8192,1,64,4.2
"bubble_sort_demo",10000,8192,2,64,4.2
"bubble_sort_demo",10000,8192,1,32,8.3
"bubble_sort_demo",10000,8192,4,64,4.1
"radix_sort_demo",10000,16384,8,32,3.5
"bubble_sort_demo",10000,8192,4,32,8.3
"bubble_sort_demo",10000,16384,8,32,8.3
"bubble_sort_demo",10000,8192,8,32,8.3
"bubble_sort_demo",10000,8192,8,64,4.1
"bubble_sort_demo",10000,8192,2,32,8.3
